843809072549969900, I'm at Amsterdam Zuidoost in Noord-Holland https://t.co/J5183Fjnw5, 52.31183883, 4.94794754, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 155361414, nl, 1490014734767, , , 
843809360686039000, #alarm P2 Ongeval Wegvervoer Materieel Crematorium th Wibautstraat 282 Zaandam - Wibautstraat 282, 1505 HR Zaandam, Netherlands, 52.427587, 4.8424325, <a href="http://www.copspotter.nl" rel="nofollow">Cop Spotter</a>, 224671737, nl, 1490014803464, , , 
843809394328551400, A2 13114 Rit 33319 Amsterdam De Clercqstraat 1052NJ 66 H https://t.co/jMJV45rpZo #p2000, 52.370817, 4.8696342, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490014811485, , , 
843809522082873300, Grondwettelijk recht (@ Aula Q.B - @vubrussel in Elsene, Brussels) https://t.co/19d1TlAzl0, 50.82086207, 4.39483166, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 110681472, nl, 1490014841944, , , 
843809815252164600, Zomer aug. kom genieten van Franse natuur en schildercursus! Eco en Bio. https://t.co/bnZEnU6Phd, 51.8913193, 4.4715764, <a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>, 3074938133, nl, 1490014911841, , , 
843810117896159200, #Egaylity -  Amerikaanse armoedebestrijding rukt op in Nederland - De gedachte achter deze in de VS succesvolle… https://t.co/VwIU2nqvcT, 52.37722611, 4.89824219, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 186899860, nl, 1490014983997, , , 
843810119288676400, #Egaylity -  Waarom mannen na de seks in slaap vallen - Valt jouw man na een stomende vrijpartij ook meteen in… https://t.co/IHgwyJm9Az, 52.37722611, 4.89824219, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 186899860, nl, 1490014984329, , , 
843810126121246700, #Egaylity -  Amerikaanse armoedebestrijding rukt op in Nederland - De gedachte achter deze in de VS succesvolle… https://t.co/yeOBcuuJNf, 52.44168021, 4.90868926, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 208056970, nl, 1490014985958, , , 
843810128549756900, #Egaylity -  Waarom mannen na de seks in slaap vallen - Valt jouw man na een stomende vrijpartij ook meteen in… https://t.co/a1o1FK3cz9, 52.44168021, 4.90868926, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 208056970, nl, 1490014986537, , , 
843810131032780800, #Egaylity -  Amerikaanse armoedebestrijding rukt op in Nederland - De gedachte achter deze in de VS succesvolle… https://t.co/pvkUqHlna1, 52.37722611, 4.89824219, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 208056970, nl, 1490014987129, , , 
843810133507420200, #Egaylity -  Waarom mannen na de seks in slaap vallen - Valt jouw man na een stomende vrijpartij ook meteen in… https://t.co/Ux3IUPpJfM, 52.37722611, 4.89824219, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 208056970, nl, 1490014987719, , , 
843811196646113300, B1 13410 Rit 33323 Amsterdam De Boelelaan 1081HV 1117 VU D0 dialyse https://t.co/dJx8APV0ee #p2000, 52.3349075, 4.8731634, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490015241191, , , 
843811709903081500, P 2 oefening Handmelder OMS Metrostation Europaplein , Europaplein 50 Amsterdam [ 13GG02 13ASH ] oefening https://t.co/WdDLOR17Nf #p2000, 52.3428198, 4.892109, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490015363561, , , 
843812429767172100, Radiolegendes @scott_mills en @tonyblackburn over de geschiedenis van @BBCR1. #smullen #helden… https://t.co/rxvyTiYX2M, 52.34158897, 4.88783795, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 72516438, nl, 1490015535190, , , 
843812533312143400, P 2 Ass. Ambu (inhijsen) (Etage: 2) , Bellamystraat 332 Amsterdam [ 13ALH 13GG02 13ASD ] https://t.co/2iAI5RfNfJ #p2000, 52.3671916, 4.8664077, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490015559877, , , 
843812589926801400, Zo leuk om met studenten te werken #loveit! (@ Roc Midden Nederland Amersfoort - @roc_mn) https://t.co/b54wvAUjhv https://t.co/s46ONOWU8e, 52.17253679, 5.40263414, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 958634641, nl, 1490015573375, , , 
843812785456906200, A1 13991 13114 Rit 33328 33329 Amsterdam Cornelis Lelylaan 1062HD 35 NS Cornelis Lelylaan https://t.co/xaB0DzREaC #p2000, 52.3580153, 4.8351249, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490015619993, , , 
843813033797390300, A1 13161 Rit 33330 Amsterdam Cornelis Lelylaan 1062HD 35 NS Cornelis Lelylaan https://t.co/l1cM36x5oU #p2000, 52.3580153, 4.8351249, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490015679202, , , 
843813260377952300, File op A58 Stilstaand verkeer #A58 #A58_QDN #file #fileleed #verkeer https://t.co/t6gEpNVAwL, 51.54216, 5.15986, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490015733223, , , 
843813318674595800, Mensen zijn nog maar met vier dingen bezig: zichzelf, hun telefoon, hun geld en hun seks., 52.08722327, 5.12189131, <a href="http://www.twitter.com" rel="nofollow">Twitter for Windows Phone</a>, 2772340217, nl, 1490015747122, 843813120233656300, 2772340217, PimKerkwijk
843813375880708100, A1 13901 Rit 33328 Amsterdam Cornelis Lelylaan 1062HD 35 NS Cornelis Lelylaan https://t.co/VDaiZnJSfi #p2000, 52.3580153, 4.8351249, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490015760761, , , 
843813388815945700, #AMSTERDAM #LFL01 | A1 13901 Rit 33328 Amsterdam Cornelis Lelylaan 1062HD __  NS Cornelis Lelylaan | https://t.co/J1vLtvLWvU, 52.358108, 4.83375, <a href="http://112alarm.net" rel="nofollow">112alarm Lifeliners</a>, 358650021, nl, 1490015763845, , , 
843813630277832700, Miessie is lekker thuis, erg moe, helemaal kapot! (@ Mies &amp; Peetje) https://t.co/QVMSM9dVvP, 52.37389576, 4.84933174, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 87377126, nl, 1490015821414, , , 
843814271293296600, Jippie ! Medio 2017 krijgt @VUmcKinderstad  een @ANWB praatpaal ! Dank aan @tijdvoormax  voor het ontvangst afgelop… https://t.co/f6GUMAS4cE, 52.3337697, 4.8522405, <a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>, 769287870, nl, 1490015974244, , , 
843814490693079000, @SamirBashara het is een wonder dat ik er nog ben meneer de wethouder. Echt., 52.39264279, 4.84704565, <a href="http://tapbots.com/tweetbot" rel="nofollow">Tweetbot for iΟS</a>, 22754056, nl, 1490016026553, 843809633022201900, 115918715, SamirBashara
843814598721638400, A1 13110 Rit 33333 Amsterdam Haparandaweg https://t.co/LkmHNGBiiv #p2000, 52.3953622, 4.8755485, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490016052309, , , 
843814978863976400, A1 13112 Rit 33334 Amsterdam Haparandaweg https://t.co/X4aTm9Aq0H #p2000, 52.3953622, 4.8755485, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490016142942, , , 
843815643761860600, Ik snap het, ik heb ook moeite om mensen te vertrouwen. Toch geloof ik in de goedheid van mensen. Onze cultuur leert hen egoïstisch te zijn., 52.0851737, 5.12035, <a href="http://www.twitter.com" rel="nofollow">Twitter for Windows Phone</a>, 2772340217, nl, 1490016301466, 843814822194135000, 2772340217, PimKerkwijk
843816181349974000, Werk! Werk! Werk! Werk! Werk! (@ Boerner Botanical Gardens in Hales Corners, WI) https://t.co/vuAPMUXgtN, 42.93689942, -88.03103769, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 268161442, nl, 1490016429637, , , 
843816706975973400, Hoi lief mens. Vandaag is er weer een nieuwe week aangebroken. Voor deze week heb ik een kaartje… https://t.co/IoWMauDiVA, 52.3, 4.7, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 93038300, nl, 1490016554956, , , 
843816723371511800, Toto! (@ FC Walvisch in Amsterdam, Noord-Holland) https://t.co/ZzrRJV2Aw4 https://t.co/ubJaBgrO7X, 52.334885, 4.928279, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 82379924, nl, 1490016558865, , , 
843816827117436900, Ik ff jullie hulp nodig!! Sta nu de hele tijd tussen plek 45 en 55 en moet voor 17:00 op 50 of… https://t.co/4Hxje8MLNZ, 52.3590947, 4.909448, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 157449960, nl, 1490016583600, , , 
843817881817268200, B1 13187 Rit 33342 Amsterdam De Boelelaan 1081HV 1117 VU REC J poli neurochirurgie https://t.co/qHmOkhPKLF #p2000, 52.3349075, 4.8731634, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490016835060, , , 
843818417094246400, Laurentien wil kinderen empathie meegeven https://t.co/9iB3tHOnk2 #Royalty, 52.37297981, 4.89144534, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 128643381, nl, 1490016962680, , , 
843818565975363600, #Applicatiebeheer Applicatiebeheerder - Rowica is voor een klant van haar, de gemeente Amsterdam, op zoek naar ee... https://t.co/gNYyUxC4ft, 52.37403, 4.88969, <a href="http://www.4-freelancers.nl" rel="nofollow">AddTweet</a>, 168489388, nl, 1490016998176, , , 
843818706425798700, A1 13104 Rit 33346 Amsterdam Nieuwe Uilenburgerstraat 1011LM 13 L https://t.co/B143znJV2n #p2000, 52.3702936, 4.9059598, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490017031662, , , 
843819241518252000, Lunch in Amsterdam 😋🍽🔋l🇳🇱

#Albertmarzinotto #amsterdam #lunch #monday #dj #aftertheweekend… https://t.co/UJ8eWyKpzY, 52.37667637, 4.89786388, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 69384456, nl, 1490017159238, , , 
843819562554527700, B1 13408 Rit 33348 Amsterdam De Boelelaan 1081HV 1117 VU D0 dialyse https://t.co/HsW2LrOO8D #p2000, 52.3349075, 4.8731634, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490017235779, , , 
843819785741918200, Geef ze nog oorlogswapens @Bart_DeWever !
Antwerpen koopt oorlogswapens aan zonder machtiging van de minister  https://t.co/ZelUGlI8sw, 51.17117117, 4.16687377, <a href="http://www.tweetcaster.com" rel="nofollow">TweetCaster for Android</a>, 517477928, nl, 1490017288991, , , 
843821795912376300, Vermissing, de poort, 2631PT, De burgernetactie is beeindigd, de jongen is aangetroffen in goede gezondheid. Bedankt voor uw medewerking., 52.0453634, 4.4053523, <a href="http://damnet.nl/?to=sms2twitter" rel="nofollow">Burgernet2Tweet</a>, 122981077, nl, 1490017768253, , , 
843821805030821900, B1 13116 Rit 33350 Amsterdam Oosterpark 1091AC 9 OLVGO seh https://t.co/bHIwRkxcfH #p2000, 52.3591188, 4.916442, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490017770427, , , 
843821915621998600, Je komt nog eens wat tegen! Met mijn maatjes van 538! Time flies! ❤ #misjulliewelhoor… https://t.co/M4ypLXU67d, 52.3713729, 4.889349, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 21005452, nl, 1490017796794, , , 
843822207184846800, De #julianabrug in #zaandam #zaandijk ging open om 14:49 en zal 4 minuten open zijn. Zie https://t.co/zCqSr3mrjr #brugopen, 52.471471, 4.813427, <a href="https://brugopen.nl" rel="nofollow">BrugOpen</a>, 3375579785, nl, 1490017866308, , , 
843822566460547100, A2 13161 Rit 33351 Amsterdam De Klencke 1083HH 111 Verpleeghuis Vreugdehof https://t.co/UuCjq6YXEI #p2000, 52.333703, 4.886214, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490017951966, , , 
843822713118646300, De #julianabrug in #zaandam #zaandijk is weer dicht. Zie https://t.co/zCqSr3mrjr #brugopen, 52.471471, 4.813427, <a href="https://brugopen.nl" rel="nofollow">BrugOpen</a>, 3375579785, nl, 1490017986932, 843822207184846800, 3375579785, OpenBrug
843823349520355300, Vaste prik langzaam (at @Bufkes in Kerkrade, Nederland) https://t.co/8AAYkemVP2, 50.8563445, 6.00499392, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 310870792, nl, 1490018138662, , , 
843823813813063700, #PURMER #ZAW | Prio 2 Ongeval Wegvervoer Materieel Oosterweg M Purmer waterland | https://t.co/PPLeE5eskt, 52.47945, 4.99859, <a href="http://112alarm.net" rel="nofollow">112alarm.net</a>, 19140633, nl, 1490018249358, , , 
843824537498275800, Zorgvastgoed: zorg of zegen? o.a. #topic tijdens #rondetafeldiscussie met #experts@stevensvandijckhttp://ow.ly/ijqS… https://t.co/ziE5JiZvjv, 52.0483409, 4.4772862, <a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>, 251568630, nl, 1490018421898, , , 
843824585325891600, Zo weer (at @BasicFitNl in Groningen, Nederland) https://t.co/hFaOhyApy7, 53.23954925, 6.57805466, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 187120506, nl, 1490018433301, , , 
843825235711344600, NL |  Amerikaanse armoedebestrijding rukt op in Nederland - De gedachte achter deze in de VS succesvolle aanpak is… https://t.co/dn4plrZ6sN, 52.39398971, 4.88725586, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 186899860, nl, 1490018588365, , , 
843825238324330500, NL |  Waarom mannen na de seks in slaap vallen - Valt jouw man na een stomende vrijpartij ook meteen in slaap?… https://t.co/jUWuUxisuH, 52.39398971, 4.88725586, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 186899860, nl, 1490018588988, , , 
843825240908034000, NL |  Drie op de vier verpleegkundigen krijgen te maken met doodswens patiënt - Bijna drie op de vier… https://t.co/FYyYvCqTts, 52.39398971, 4.88725586, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 186899860, nl, 1490018589604, , , 
843825973267120100, #Egaylity -  Drie op de vier verpleegkundigen krijgen te maken met doodswens patiënt - Bijna drie op de vier… https://t.co/o7ERM0HRjP, 52.37722611, 4.89824219, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 186899860, nl, 1490018764212, , , 
843825974860955600, #Egaylity -  Nederlandse kust voor hooikoortspatiënten de plek om van de zon te genieten' - Het pollenseizoen is… https://t.co/r6NqeBqjES, 52.37722611, 4.89824219, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 186899860, nl, 1490018764592, , , 
843825999246590000, #Egaylity -  Drie op de vier verpleegkundigen krijgen te maken met doodswens patiënt - Bijna drie op de vier… https://t.co/dMaIeUXYYi, 52.44168021, 4.90868926, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 208056970, nl, 1490018770406, , , 
843826001276678100, #Egaylity -  Nederlandse kust voor hooikoortspatiënten de plek om van de zon te genieten' - Het pollenseizoen is… https://t.co/YhSAyufHNb, 52.44168021, 4.90868926, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 208056970, nl, 1490018770890, , , 
843826005944885200, #Egaylity -  Drie op de vier verpleegkundigen krijgen te maken met doodswens patiënt - Bijna drie op de vier… https://t.co/kqlO1RXAhp, 52.37722611, 4.89824219, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 208056970, nl, 1490018772003, , , 
843826008025264100, #Egaylity -  Nederlandse kust voor hooikoortspatiënten de plek om van de zon te genieten' - Het pollenseizoen is… https://t.co/R8UYCpAXFs, 52.37722611, 4.89824219, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 208056970, nl, 1490018772499, , , 
843826625020117000, A1 13115 Rit 33357 Amsterdam Mercatorplein 1057CA 113 th https://t.co/gX5hzVAiOx #p2000, 52.3695893, 4.8502664, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490018919602, , , 
843826966633627600, #Applicatiebeheer Gemeentelijk Applicatiebeheerder Stadsdelen, BTIT14193 - Gemeentelijk Applicatiebeheerder Stads... https://t.co/BbOXCVfpOo, 52.37403, 4.88969, <a href="http://www.4-freelancers.nl" rel="nofollow">AddTweet</a>, 168489388, nl, 1490019001049, , , 
843826975244501000, Alvast voor 4 mei @ Café-Restaurant De Ysbreeker https://t.co/n0PqtX8AY8, 52.35742216, 4.90651724, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 21298514, nl, 1490019003102, , , 
843827094278848500, File op A2 Stilstaand verkeer #A2 #A2_ECH #file #fileleed #verkeer https://t.co/CkmetWMoan, 51.09318, 5.8385, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490019031482, , , 
843827892484296700, @SamirBashara ik weet het, groen heeft over het algemeen je voorkeur. Maar dít., 52.39214431, 4.84423191, <a href="http://tapbots.com/tweetbot" rel="nofollow">Tweetbot for iΟS</a>, 22754056, nl, 1490019221789, 843827209374720000, 115918715, SamirBashara
843828116350881800, Hermosa 😍#SeVuelve @ Amsterdam, Netherlands https://t.co/CDaU4cGlQD, 52.3731, 4.8922, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 174462430, nl, 1490019275163, , , 
843828618300182500, A1 13120 Rit 33361 Amsterdam Zorgwijkstraat 1097NL 1 H th https://t.co/xaoOyBr5L3 #p2000, 52.3455291, 4.9247859, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490019394837, , , 
843829749826945000, #Overig Gemeentelijk Oracle Specialist, 36 u p/w, BTIT14192 - Gemeentelijk Oracle Specialist te omgeving Amsterda... https://t.co/AwVXFTRRv5, 52.37403, 4.88969, <a href="http://www.4-freelancers.nl" rel="nofollow">AddTweet</a>, 168489388, nl, 1490019664614, , , 
843829910410068000, Een stap dichterbij de #zomer met een #rijbewijs op zak? 

Het is maandag 20 maart en dat… https://t.co/ZKGSEo3ykN, 52.38327, 4.81635, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 828567390732550100, nl, 1490019702900, , , 
843831024526250000, B1 13122 Rit 33365 Amsterdam Oosterpark 1091AC 9 OLVGO C3 ccu https://t.co/BhVJ5HEoJA #p2000, 52.3591188, 4.916442, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490019968526, , , 
843832010162364400, Sat 08 Apr: Lentefeest Bl#ijburg https://t.co/thfUFXkcgj #Amsterdam #Nightlife #hoplr https://t.co/pUhBljQgpx, 52.3516884, 5.0068898, <a href="https://regrowth.mightysolutions.be" rel="nofollow">RegrowthApp</a>, 3598644755, nl, 1490020203520, , , 
843832547817807900, I'm at DDMA in Amsterdam, NoordHolland https://t.co/jmzR0j0tnO, 52.364612, 4.87180553, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 1252681, nl, 1490020331707, , , 
843832679460212700, Superleuke dag, dromen luisteren  #dreamclipamsterdam https://t.co/oQgNkXLzSD, 52.3828651, 4.8430735, <a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>, 19108072, nl, 1490020363093, , , 
843833171032641500, A1 13106 Rit 33366 Amsterdam Daniel Goedkoopstraat 1096BD 7 Stadstoezicht hoofdkant https://t.co/ktgQJhc4gr #p2000, 52.3349148, 4.9212654, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490020480293, , , 
843833284387856400, De #julianabrug in #zaandam #zaandijk ging open om 15:33 en zal 4 minuten open zijn. Zie https://t.co/zCqSr3mrjr #brugopen, 52.471471, 4.813427, <a href="https://brugopen.nl" rel="nofollow">BrugOpen</a>, 3375579785, nl, 1490020507319, , , 
843833452847910900, B1 13101 Rit 33367 Amsterdam Oosterpark 1091AC 9 OLVGO B3 lounge https://t.co/ld8alSuruq #p2000, 52.3591188, 4.916442, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490020547483, , , 
843833502860755000, Fun 😊👍 @ Stichting Noodzaak https://t.co/wcYngBASgs, 52.3324135, 4.9136925, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 20145375, nl, 1490020559407, , , 
843834035663265800, De #julianabrug in #zaandam #zaandijk is weer dicht. Zie https://t.co/zCqSr3mrjr #brugopen, 52.471471, 4.813427, <a href="https://brugopen.nl" rel="nofollow">BrugOpen</a>, 3375579785, nl, 1490020686437, 843833284387856400, 3375579785, OpenBrug
843835157610188800, Jaja we dienen iets nu legaal is lekker man googleadsense #Love #CashCity @ Amsterdam-Noord https://t.co/ftVIS2T0Uh, 52.39111, 4.91833, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 238293192, nl, 1490020953930, , , 
843835184592175100, Een SLT met hulpmotor #ns_online #slt2605 @ Station Amsterdam Centraal https://t.co/8eUDs8iNDI, 52.37807, 4.90118, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 173425823, nl, 1490020960363, , , 
843836017631264800, A1 13121 Rit 33373 Amsterdam Bovenover 1025JT 397 https://t.co/Nh3uwMCiaQ #p2000, 52.3983434, 4.9347698, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490021158975, , , 
843836288688111600, A1 13160 Rit 33374 Amsterdam Overtoom Eerste Constantijn Huygensstraat https://t.co/qZVpaaofNJ #p2000, 52.3651455, 4.8737085, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490021223600, , , 
843836897176830000, A1 13116 Rit 33375 Amsterdam Overtoom Eerste Constantijn Huygensstraat https://t.co/jcs5rYWsvW #p2000, 52.3651455, 4.8737085, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490021368675, , , 
843837016785784800, En door! 

#photooftheday #hethaartheater #beethovenstraat #opening #late #spring #haircolor… https://t.co/aNKm8IaYuI, 52.34882519, 4.87738491, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 112467819, nl, 1490021397192, , , 
843837471200809000, Prio: 1 Letsel Overtoom Amsterdam https://t.co/QmTyS1S05R #p2000, 52.3630005, 4.8764591, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490021505533, , , 
843837480776454100, #AMSTERDAM #AML | Prio: 1 Letsel Overtoom Amsterdam | https://t.co/YJjhsBomY5, 52.361088, 4.868572, <a href="http://112alarm.net" rel="nofollow">112alarm.net</a>, 19140633, nl, 1490021507816, , , 
843838335827304400, B1 13406 Rit 33378 Amsterdam Domselaerstraat 1093MB 126 HVO Querido https://t.co/Z3QUH1AnST #p2000, 52.3600217, 4.9282169, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490021711676, , , 
843838541704650800, Een nieuw begin!

Vanaf april wordt Filter onderdeel van Ecomama. Dit betekent een nieuwe look… https://t.co/Ym26Hg7mFq, 52.36958333, 4.90650089, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 1443907256, nl, 1490021760761, , , 
843838817815707600, De #julianabrug in #zaandam #zaandijk ging open om 15:55 en zal 4 minuten open zijn. Zie https://t.co/zCqSr3mrjr #brugopen, 52.471471, 4.813427, <a href="https://brugopen.nl" rel="nofollow">BrugOpen</a>, 3375579785, nl, 1490021826591, , , 
843839184607498200, #rijksmuseum #amsterdam @ Rijksmuseum https://t.co/88wOAy6qtK, 52.35995, 4.8853799, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 42370917, nl, 1490021914041, , , 
843839229318848500, P 2 Ass. Ambu (Afhijsen) , Pieter Lastmankade 168 Amsterdam [ 13ALD 13GG02 13ASP ] https://t.co/O0kQ0G4gvS #p2000, 52.3475677, 4.8571501, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490021924701, , , 
843839498526085100, 💨 @ Zaandam https://t.co/3qJ6P5l9fi, 52.45, 4.83333, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 55287392, nl, 1490021988885, , , 
843839550892007400, #alarm Prio: 1 Letsel Overtoom Amsterdam - Overtoom 326II, 1054 JD Amsterdam, Netherlands, 52.3606444, 4.8669769, <a href="http://www.copspotter.nl" rel="nofollow">Cop Spotter</a>, 224671737, nl, 1490022001370, , , 
843839599042469900, Niet zomaar zaad... #Haagszaad 😂 #kadootjes #perpost 😘 @ Tone of Voice https://t.co/PONsH3kd3V, 52.35493, 4.86255, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 44332613, nl, 1490022012850, , , 
843839639383425000, File op N3 Stilstaand verkeer #N3 #N3_ZWI #file #fileleed #verkeer https://t.co/zy1NfC6Vz1, 51.79769, 4.68618, <a href="http://www.tomtom.com" rel="nofollow">Jamnet-NL</a>, 704264353940414500, nl, 1490022022468, , , 
843839870359519200, #R1/Ring Antwerpen Ring 2 (Nederland) ter hoogte van Antwerpen-Zuid Obstakel op de weg, 1 rijstrook versperd sinds 20/03/2017 15:58, 51.19103, 4.40808, <a href="http://www.touringmobilis.be" rel="nofollow">Automatic Traffic Update</a>, 55241812, nl, 1490022077537, , , 
843840326511005700, De #julianabrug in #zaandam #zaandijk is weer dicht. Zie https://t.co/zCqSr3mrjr #brugopen, 52.471471, 4.813427, <a href="https://brugopen.nl" rel="nofollow">BrugOpen</a>, 3375579785, nl, 1490022186292, 843838817815707600, 3375579785, OpenBrug
843840497131176000, B1 13407 Rit 33382 Amsterdam De Boelelaan 1081HV 1117 VU -2A radiotherapie https://t.co/d1mKHJ425u #p2000, 52.3349075, 4.8731634, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490022226971, , , 
843840513124065300, #Overig Operations Engineer DETAVAST, BTIT14196 - Operations Engineer DETAVAST te omgeving Amsterdam Reacties ont... https://t.co/6eVrIa03wp, 52.37403, 4.88969, <a href="http://www.4-freelancers.nl" rel="nofollow">AddTweet</a>, 168489388, nl, 1490022230784, , , 
843840640521781200, B1 13189 Rit 33383 Amsterdam Statenjachtstraat 1034CS 1 BIJ 3 OOST Interne/Longziekten https://t.co/13DRGwNJzB #p2000, 52.4057126, 4.918917, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1490022261158, , , 
843840737066319900, #HOOFDDORP #KEN | Ongeval Letsel Burgemeester van Stamplein Hoofddorp | https://t.co/aFY0RbxwZR, 52.301874, 4.6917043, <a href="http://112alarm.net" rel="nofollow">112alarm.net</a>, 19140633, nl, 1490022284176, , , 
843840828606885900, NL |  Nederlandse kust voor hooikoortspatiënten de plek om van de zon te genieten' - Het pollenseizoen is begonnen… https://t.co/BSg9KAfC5p, 52.39398971, 4.88725586, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 186899860, nl, 1490022306001, , , 
843840831521882100, NL |  Ouders weigeren uitnodiging homohuwelijk - Een eerste wetsontwerp rond het homohuwelijk dateert al van 2003.… https://t.co/aNbNVLzO34, 52.39398971, 4.88725586, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 186899860, nl, 1490022306696, , , 
843840833702969300, NL |  Geen alcohol en tabak in 'gezonde' supermarkt op Radboud Universiteit - Nijmeegse studenten kunnen vanaf… https://t.co/dXmkq3WhWc, 52.39398971, 4.88725586, <a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>, 186899860, nl, 1490022307216, , , 
